,Train Accuracy,Validation Accuracy
0,33.0,70.0
1,59.0,70.0
2,85.0,70.0
3,85.0,70.0
4,86.0,70.0
5,93.0,70.0
6,93.0,70.0
7,94.0,70.0
8,91.0,70.0
9,97.0,70.0
10,95.0,70.0
11,96.0,70.0
12,99.0,70.0
13,99.0,70.0
14,98.0,70.0
15,99.0,70.0
16,98.0,70.0
17,98.0,70.0
18,98.0,70.0
19,100.0,70.0
20,100.0,70.0
21,98.0,69.0
22,100.0,65.0
23,98.0,65.0
24,99.0,65.0
25,99.0,67.0
26,100.0,67.0
27,98.0,66.0
28,98.0,67.0
29,96.0,69.0
30,98.0,69.0
31,99.0,69.0
32,100.0,69.0
33,97.0,69.0
34,100.0,69.0
35,100.0,69.0
36,98.0,69.0
37,100.0,69.0
38,99.0,69.0
39,99.0,69.0
40,100.0,69.0
41,100.0,69.0
42,100.0,69.0
43,100.0,69.0
44,100.0,68.0
45,100.0,68.0
46,100.0,67.0
47,100.0,67.0
48,100.0,67.0
49,100.0,67.0
50,100.0,67.0
51,99.0,64.0
52,100.0,62.0
53,100.0,60.0
54,100.0,60.0
55,100.0,59.0
56,100.0,57.0
57,99.0,59.0
58,100.0,62.0
59,100.0,64.0
60,100.0,64.0
61,100.0,64.0
62,99.0,62.0
63,100.0,65.0
64,100.0,66.0
65,100.0,67.0
66,99.0,68.0
67,100.0,69.0
68,100.0,69.0
69,100.0,70.0
70,100.0,70.0
71,100.0,70.0
72,100.0,70.0
73,100.0,69.0
74,100.0,65.0
75,100.0,64.0
76,100.0,63.0
77,100.0,63.0
78,100.0,61.0
79,100.0,63.0
80,100.0,64.0
81,100.0,64.0
82,100.0,64.0
83,100.0,64.0
84,100.0,64.0
85,100.0,64.0
86,100.0,64.0
87,100.0,64.0
88,100.0,64.0
89,100.0,64.0
90,100.0,64.0
91,100.0,64.0
92,100.0,64.0
93,99.0,63.0
94,100.0,58.0
95,100.0,58.0
96,100.0,58.0
97,98.0,55.0
98,100.0,49.0
99,100.0,46.0
